username,MeanMoves,StdMoves,MeanEloDiff,WinRate,WinRate_PosEloDiff,WinRate_NegEloDiff,Mean_ACPL,Std_ACPL,Mean_Game_ACPL_Variance,After_opening_ACPL,Mean_Material_Imbalance,Std_Material_Imbalance,FightingCapability,n_loss_games,ComebackIndex,n_loss_games_for_comeback,CollapseIndex,n_win_games
ieyteneyer,32.0625,17.12101535151075,-76.9375,65.625,100.0,60.71428571428571,61.262993285276046,29.85286174213247,13573.886688064513,37.962768115942026,0.3516718661243286,2.563373933390294,0.5810749226037735,8,0.5,8,0.0,11
ivorybags,33.8125,12.864518387150502,86.5,28.125,32.142857142857146,0.0,51.30344966696736,31.44011504669268,11356.81336083706,58.40660313113099,-0.0492287811037913,1.214743889271537,0.4610411674579691,9,0.0,9,0.25,4
j434,33.375,16.5282586297932,-12.0625,46.875,64.28571428571429,33.33333333333333,53.8582724357678,24.334461214108966,17015.33073190008,57.2217905690645,0.2994434375060954,1.4283412399150452,0.3485832513283634,8,0.25,8,0.3333333333333333,12
jds62,42.9375,15.364325562809457,-54.0,46.875,25.0,60.0,82.48159432023841,27.41653885815664,25295.745747463498,98.39410014736212,-0.3928585154835331,3.052956981408155,0.5376625532200145,9,0.2222222222222222,9,0.4166666666666667,12
janis112,38.8125,19.25346289199253,15.0,40.625,33.33333333333333,50.0,48.72801658689798,20.440704926741564,8070.746745055887,51.66482296787336,0.1282232430795259,1.04801615457904,0.412327856803752,9,0.2222222222222222,9,0.0,6
jason150789,28.75,19.709557749139545,-45.9375,62.5,50.0,70.0,46.800580095424166,23.964082143756176,12199.419424845402,61.99829642958088,0.0838590409450645,0.9188890143682632,0.4766078777189888,3,0.6666666666666666,3,0.1818181818181818,11
javadseda,48.125,13.778606605894517,-17.375,50.0,50.0,50.0,45.43429401830936,14.676659646522928,5966.450182867528,60.690926236900765,-0.0816653864472613,2.7987599173214983,0.5391047268829763,9,0.2222222222222222,9,0.25,8
jeyhun,29.25,11.3107618369999,41.625,50.0,61.11111111111112,35.714285714285715,56.29286879974675,28.16551427900737,13465.893929284151,44.39807026307026,0.2658817656011935,1.890036268176552,0.3689603092909835,4,0.0,4,0.3,10
josielplens,39.1875,21.924776699737063,-10.125,62.5,57.14285714285714,66.66666666666666,65.22371983362568,30.566854473233565,20787.32858128042,70.48893243165969,-0.0658984211697413,2.280344275606688,0.4651952959148557,8,0.25,8,0.2857142857142857,14
kaktank,29.5,12.38816639647154,70.875,34.375,40.0,25.0,53.599700993501024,27.231587459799563,14855.063230778249,142.53363457809158,-1.3285821926607184,6.088864678651686,0.2571835248464903,9,0.1111111111111111,9,0.25,8
karat23,37.75,19.30284953057449,27.5,37.5,50.0,16.666666666666664,65.065820037674,18.74312070910848,14262.443804822144,45.93851659474129,-0.7419963814269728,4.42875117130575,0.4826418707981556,10,0.1,10,0.2222222222222222,9
kamampla,41.375,21.709828803255604,5.4375,21.875,0.0,35.0,49.45319280055974,22.559428447825624,9281.96808729889,73.28839426624349,-0.2031597654871296,2.388914981454179,0.4854866983020297,10,0.1,10,0.4,5
karasakas,37.5,13.875638123464208,37.375,65.625,83.33333333333334,42.85714285714285,56.77606430864894,22.39377128714712,13931.152760213592,58.211422270459785,0.3289295432966405,2.412196024427544,0.5930402086535718,9,0.3333333333333333,9,0.0,5
kievua,45.8125,24.09486459808397,21.0,40.625,25.0,66.66666666666666,66.11353996368453,38.98864985696364,19570.472253835524,58.3266828642279,-0.5639581816846571,1.7461989465099792,0.383600424160776,11,0.0909090909090909,11,0.3333333333333333,9
komarudin-garut,33.25,9.787747442593728,8.9375,37.5,12.5,62.5,50.24861746756066,18.331118052418443,9624.80789590258,69.51223798021623,-0.3372597171332621,1.21363848304256,0.4346541626791328,10,0.2,10,0.1428571428571428,7
kontrolor,41.375,17.579817974029197,-126.8125,71.875,16.666666666666664,84.61538461538461,39.37798012176216,7.529669748915388,5937.117122219983,57.9872379393966,-0.2450568878862312,1.124416607039118,0.3757733068388806,5,0.2,5,0.0,10
kostandinr,40.75,16.258331197676263,19.25,37.5,44.44444444444444,28.57142857142857,45.03666918248248,25.945437115537853,8021.674444131937,69.95687327342092,0.4593800649978554,0.8946600292499688,0.3247874488372222,11,0.0909090909090909,11,0.25,8
ksv2012,31.875,15.072602075731096,91.0625,37.5,33.33333333333333,100.0,58.00409915756215,27.624016440433728,11455.196404401153,93.43700237670826,-0.6497270620682635,1.370017799554608,0.3881286210778475,7,0.0,7,0.2,5
loginov19510410,42.0625,14.762424146008902,-65.0625,56.25,83.33333333333334,40.0,46.789427991234135,21.804674116737832,11149.317184567277,61.42621724632595,0.0484806717263054,1.1876388229616373,0.2544176002015975,8,0.25,8,0.2,10
