username,MeanMoves,StdMoves,MeanEloDiff,WinRate,WinRate_PosEloDiff,WinRate_NegEloDiff,Mean_ACPL,Std_ACPL,Mean_Game_ACPL_Variance,Endgame_ACPL,After_opening_ACPL
MasonJar,23.375,9.569918146637065,28.1875,56.25,44.44444444444444,71.42857142857143,78.09987815282649,36.17333160135331,16481.637339267254,12.75,43.86284722222223
Matthew_Castle,43.3125,11.400109648595487,-163.9375,59.375,,59.375,41.34011521997635,13.633160080777458,7412.479848935516,112.62524824032178,55.76487216446243
Mehrdad376,36.625,15.248497193712783,96.0625,18.75,18.75,,,,,,
Meteoking,37.1875,20.103793174423576,-32.1875,53.125,42.85714285714285,61.11111111111112,52.017394109730255,19.101984659359616,8788.045966062255,19.78492063492064,57.92973082614045
Miko80,30.25,13.005127194046713,35.875,40.625,35.0,50.0,,,,,
Miloszverka,35.25,11.55566239266851,7.5,46.875,25.0,60.0,83.74225583453173,47.108422063875544,32275.127194687164,98.86724386724389,122.44940688132417
Mindaugas777,28.625,10.203757477844457,3.4375,50.0,40.0,66.66666666666666,,,,,
MirrorPlay,35.8125,14.878255946178635,-33.375,40.625,40.0,40.909090909090914,59.30092302865292,21.72975963384453,12428.428707080124,58.37955346650999,80.66608401345243
Misha19701309,39.5625,17.408690358553685,-73.375,68.75,50.0,80.0,38.699174196962495,15.8330324538144,6182.604100675059,32.25113035113035,48.3147299953228
Miw,36.25,21.034891648560176,-79.625,53.125,50.0,54.16666666666666,,,,,
Mr-Pink,31.5625,17.021432567991056,-7.9375,62.5,33.33333333333333,80.0,,,,,
Mundo2015,47.875,12.64317997973611,-55.6875,31.25,33.33333333333333,30.0,52.13073521951448,20.682804832357597,10533.418106733854,65.17776627412991,73.04698054824043
MusAlger,35.125,18.54678768232745,-4.625,62.5,60.0,66.66666666666666,49.221877595754535,15.713978429480465,8320.901431208906,24.5723574252986,59.39327314169276
NARSPI,41.5,17.181385275931625,-14.9375,59.375,50.0,71.42857142857143,64.8604528952399,25.4244388785243,17993.90872117198,78.55482174988754,90.85043801347156
Napastnik,30.25,8.35463942968217,-76.375,68.75,0.0,78.57142857142857,48.503636855636344,30.956125286218168,10805.551597915504,12.0,59.49023426715734
Nevenoe,28.75,16.027060449959833,14.8125,50.0,55.55555555555556,42.85714285714285,,,,,
Nikk53,31.75,13.097073464455075,-34.4375,50.0,50.0,50.0,42.92350473246226,16.93803738959578,6217.954127281297,53.44285714285714,52.37363127069009
Nishi2402,34.5,11.454256850621082,-39.8125,81.25,71.42857142857143,88.88888888888889,55.71274554020663,22.388054596737483,15539.767893025684,131.91666666666666,73.71175038197097
Novatek,33.25,15.355780670483671,7.0,62.5,70.0,50.0,,,,,
Nuprow,29.5625,11.389871231347028,14.1875,37.5,22.22222222222222,57.14285714285714,,,,,
Officier_Martin,38.0625,15.386005546166512,-56.375,46.875,25.0,50.0,,,,,
Onetreehill,27.0,8.024961059095553,53.25,25.0,20.0,100.0,89.02487411144772,41.89949933063451,28367.355334852295,0.0,160.96905513468013
OnkelHotte,23.5625,7.983054970790735,69.6875,28.125,30.0,25.0,,,,,
PAULOPABA,28.625,13.170041761513133,82.875,25.0,28.57142857142857,0.0,,,,,
Papyrus,38.4375,20.13940995494489,145.625,21.875,21.875,,,,,,
Pierrot28,26.875,9.142392101268316,-38.875,59.375,25.0,80.0,107.82608141522358,67.6633185105332,35322.04469753522,,120.10711973277058
PionOneX66,39.75,18.455351527402563,15.375,53.125,55.00000000000001,50.0,,,,,
Popo4ka_Po,31.875,11.938034455749683,80.125,50.0,41.66666666666667,75.0,,,,,
Propal,34.375,16.414932226482083,79.625,31.25,33.33333333333333,0.0,67.64189368144547,28.880077408502597,16448.23647339372,49.47955182072829,87.60154327154328
Rafaguty,38.125,22.729936207565565,-34.0,43.75,25.0,54.54545454545454,,,,,
Ram57,37.25,12.331531399897852,79.1875,25.0,21.428571428571427,50.0,,,,,
Ray_Suit,36.3125,14.992081243109643,40.8125,59.375,50.0,75.0,85.67419995059338,39.22221965795867,27056.603330952574,50.10416666666667,81.4881328988472
